,Id,Predictions,labels
0,es007CVMTD,0,2
1,ru022CVMTF_2,4,2
2,fr034CVMTF,4,2
3,de037CVSTF,5,4
4,de013CVITI,0,0
5,zh022CAMTI,4,2
6,es049CVETF_1,0,1
7,it016CVETF_2,4,1
8,it010CVITD,0,0
9,de012CVITF_2,0,0
10,it009CAMTD_2,4,2
11,ko001CVETD,1,1
12,zh089CVATD,5,3
13,en028CAATF_1,4,3
14,zh034CAETF,0,1
15,zh105CAETF,4,1
16,zh109CAETF_2,2,1
17,ru013CAATF_3,4,3
18,zh065CASTF,4,4
19,de029CVETF,2,1
20,zh040CAATF_1,2,3
21,it013CVATD,5,3
22,es037CVATF,1,3
23,zh040CAATF_3,2,3
24,zh064CVETD,1,1
25,de038CAITF_2,0,0
26,de006CVMTD,0,2
27,es045CVETF_2,4,1
28,es044CVETD,0,1
29,zh020CAMTF,4,2
30,it004CVMTF,5,2
31,ru007CAMTI,5,2
32,zh124CAMTF,4,2
33,ja013CAMTF_2,0,2
34,es032CVMTF,1,2
35,zh054CAMTD_1,4,2
36,en020CAATF_3,1,3
37,ru007CAATF_3,5,3
38,es026CVMTI,5,2
39,en053CVMTF,5,2
40,it016CVETD,0,1
41,ja019CAATD,1,3
42,de026CVSTI,5,4
43,sv005CVATF,4,3
44,ru012CAATI_2,1,3
45,zh125CAMTF,4,2
46,ru012CAATF_2,1,3
47,nl009CVETF,0,1
48,es050CVETI_2,0,1
49,en062CVATF,4,3
50,zh108CAETI_1,4,1
51,fr007CVMTF,5,2
52,tet008CVETF,0,1
53,zh095CAETI,2,1
54,sv006CVETF_2,0,1
55,zh103CAETF,2,1
56,en058CVETI,0,1
57,zh054CVATF,4,3
58,es042CVETI_2,1,1
59,en056CVITI_2,0,0
60,ru017CVMTF,1,2
61,fr038CVMTI,5,2
62,sv007CVETI,0,1
63,en043CVMTI,1,2
64,de027CVITI,0,0
65,zh062CVE3TI_1,2,1
66,de032CVETF,4,1
67,zh035CAMTF_2,0,2
68,ru017CVMTI2,1,2
69,ro004CVETF,4,1
70,en001CVMTD,0,2
71,zh030CAETF,0,1
72,en057CVETI_2,4,1
73,zh101CAETF,4,1
74,zh021CAETI,0,1
75,zh101CAETI,2,1
76,zh079CVATD,2,3
77,zh020CAETD_1,0,1
78,zh108CAETI_2,0,1
79,de033CVETI,0,1
80,fr016CVATI,4,3
81,zh052CAATF,5,3
82,ja007CVMTD,1,2
83,es049CVETF_2,2,1
84,ru021CVMTI,2,2
85,nl002CVMTD,0,2
86,zh077CVATI,4,3
87,es076CASTI,5,3
88,sv007CVETF_2,2,1
89,es026CVMTD,5,2
90,zh063CVETI,0,1
91,zh091CVITI,0,0
92,ja012CVETI2,0,1
93,nl001CVETF,4,1
94,zh024CAETD1_1,0,1
95,zh005CVATF,4,3
96,en056CVITI_1,0,0
97,es048CVETD,0,1
98,zh036CAE1TF,1,1
99,es014CAMTF,5,2
100,zh129CAMTF,2,2
101,zh064CAETF,2,1
